"","french_name","species","minYear","maxYear","estimate","se","infIC","supIC","GR","infGR","supGR","perc","infPerc","supPerc","pval","trend","trendEBCC"
"1","Héron garde-boeufs","BUBIBI",2015,2024,0.245242292783983,0.0519668377583018,0.143387290777712,0.347097294790254,1.27793090913465,1.1541767171157,1.41495438636371,"+809%","+263.5%","+2173.4%",2.36765166167188e-06,"Augmentation forte","Forte augmentation"
"2","Guêpier d'Europe","MERAPI",2015,2024,0.21151138496544,0.0475246365172205,0.118363097391687,0.304659672539192,1.23554403217473,1.1256527587541,1.35616338481881,"+571%","+190.2%","+1451.7%",8.56454963162356e-06,"Augmentation forte","Forte augmentation"
"3","Tarin des aulnes","CARSPI",2015,2024,0.150019720761945,0.0553707019832007,0.0414931448748718,0.258546296649019,1.16185715521073,1.04236601627751,1.29504610475998,"+285.8%","+45.3%","+924.6%",0.0067411109820233,"Augmentation forte","Augmentation modérée"
"4","Cisticole des joncs","CISJUN",2015,2024,0.140108189635047,0.0167065907900287,0.107363271686591,0.172853107583503,1.15039825329195,1.11333862542683,1.18869148249465,"+252.9%","+162.8%","+373.8%",5.01246378747843e-17,"Augmentation forte","Forte augmentation"
"5","Ouette d'Egypte","ALOAEG",2015,2024,0.125690304369653,0.0565769869245876,0.014799409997461,0.236581198741844,1.1339309404416,1.01490946350437,1.2669104229761,"+209.9%","+14.2%","+740.8%",0.0263117006260619,"Augmentation modérée à forte","Augmentation modérée"
"6","Bouscarle de Cetti","CETCET",2015,2024,0.10516521633247,0.0123025728760478,0.0810521734954164,0.129278259169524,1.11089413304924,1.08442747346266,1.13800674092357,"+157.7%","+107.4%","+220.1%",1.24990999745568e-17,"Augmentation forte","Forte augmentation"
"7","Bernache du Canada","BRACAN",2015,2024,0.102932447509574,0.0414693714962446,0.0216524793769345,0.184212415642213,1.10841653024986,1.02188859539487,1.20227117717896,"+152.5%","+21.5%","+424.8%",0.0130598943937528,"Augmentation modérée à forte","Augmentation modérée"
"8","Cigogne blanche","CICCIC",2015,2024,0.100749464917287,0.0406272799843791,0.0211199961479044,0.180378933686671,1.10599951536987,1.0213446017025,1.19767111507648,"+147.6%","+20.9%","+407%",0.0131438528036345,"Augmentation modérée à forte","Augmentation modérée"
"9","Perruche à collier","PSIKRA",2015,2024,0.09979356279127,0.0262797614883671,0.0482852302740704,0.151301895308469,1.10494279322369,1.04946995324042,1.1633478143202,"+145.5%","+54.4%","+290.3%",0.000146248741670985,"Augmentation forte","Augmentation modérée"
"10","Fuligule milouin","AYTFER",2015,2024,0.0932019645411792,0.0803742132949908,-0.0643314935170028,0.250735422599361,1.09768340600797,0.937694108486499,1.28497006531273,"+131.4%","-44%","+855.1%",0.246211565155068,"Incertain","Incertain"
"11","Rollier d'Europe","CORGAR",2015,2024,0.0910876497976753,0.0346768392496237,0.023121044868413,0.159054254726938,1.09536500957249,1.02339040820753,1.17240155328136,"+127%","+23.1%","+318.5%",0.00862027263785999,"Augmentation modérée à forte","Augmentation modérée"
