"","french_name","species","minYear","maxYear","estimate","se","infIC","supIC","GR","infGR","supGR","perc","infPerc","supPerc","pval","trend","trendEBCC"
"1","ALOAEG","ALOAEG",2014,2024,0.485167815648724,0.0887528775382209,0.311212175673811,0.659123455623637,1.62444759369834,1.36507882698134,1.9330971461243,"+12695.5%","+2146.9%","+72768%",4.59002284469422e-08,"Augmentation forte","Forte augmentation"
"2","BUBIBI","BUBIBI",2014,2024,0.321535603799842,0.0470256593179304,0.229365311536698,0.413705896062986,1.37924411148322,1.25780144447021,1.51241225506972,"+2391.2%","+891.1%","+6161.8%",8.06150970454100e-12,"Augmentation forte","Forte augmentation"
"3","ELACAE","ELACAE",2014,2024,0.279598324425026,0.0655372406044244,0.151145332840354,0.408051316009698,1.32259845013405,1.16316569197225,1.50388433253302,"+1537.9%","+353.3%","+5817.6%",1.98785043940037e-05,"Augmentation forte","Forte augmentation"
"4","BRACAN","BRACAN",2014,2024,0.269950643594578,0.12849952935406,0.0180915660606204,0.521809721128536,1.30989979719228,1.01825620983106,1.68507440673408,"+1387.2%","+19.8%","+18358.3%",0.0356593244819576,"Augmentation modérée à forte","Augmentation modérée"
"5","MILMIL","MILMIL",2014,2024,0.254464589113961,0.0510369350015937,0.154432196510837,0.354496981717084,1.28977087860502,1.16699514903197,1.42546343973877,"+1173.9%","+368.5%","+3363.9%",6.16769468448195e-07,"Augmentation forte","Forte augmentation"
"6","GRIVES","GRIVES",2014,2024,0.190029108119945,0.0581949307427436,0.0759670438641678,0.304091172375723,1.20928479715188,1.07892701630606,1.3553926248222,"+568.8%","+113.8%","+1992.4%",0.00109313698004998,"Augmentation forte","Forte augmentation"
"7","LARMIC","LARMIC",2014,2024,0.169511672035266,0.0612604385976966,0.0494412123837803,0.289582131686751,1.18472617511812,1.05068382320185,1.33586915398845,"+444.7%","+64%","+1709.8%",0.00565633160559135,"Augmentation forte","Forte augmentation"
"8","PSIKRA","PSIKRA",2014,2024,0.153925957382704,0.042355215242577,0.0709097355072528,0.236942179258155,1.16640451993758,1.07348432397705,1.26736783550825,"+366.1%","+103.2%","+969.1%",0.000278879376108605,"Augmentation forte","Forte augmentation"
"9","GRUGRU","GRUGRU",2014,2024,0.119523145888932,0.0865766405065499,-0.0501670695039062,0.289213361281769,1.12695932824078,0.951070516347384,1.33537661580186,"+230.4%","-39.4%","+1703.2%",0.167418201658533,"Incertain","Incertain"
"10","DENMED","DENMED",2014,2024,0.119398343221371,0.0232791469494959,0.073771215200359,0.165025471242383,1.12681868948661,1.0765604766462,1.17942315970197,"+230%","+109.1%","+420.8%",2.9131202663804e-07,"Augmentation forte","Forte augmentation"
"11","CORRAX","CORRAX",2014,2024,0.116448930804189,0.0271996468919787,0.0631376228959103,0.169760238712467,1.12350013275383,1.06517342139544,1.18502069516928,"+220.4%","+88%","+446.1%",1.8583283937099e-05,"Augmentation forte","Forte augmentation"
"12","CERFAM","CERFAM",2014,2024,0.105872134882757,0.0455325234168409,0.0166283889857486,0.195115880779765,1.11167972236041,1.01676741014288,1.21545182583463,"+188.3%","+18.1%","+603.7%",0.0200613723190692,"Augmentation modérée à forte","Augmentation modérée"
"13","CETCET","CETCET",2014,2024,0.0981527392953467,0.0195044505281924,0.0599240162600894,0.136381462330604,1.10313126373342,1.06175586729857,1.14611901144682,"+166.9%","+82.1%","+291.1%",4.84566189555446e-07,"Augmentation forte","Forte augmentation"
"14","ANACRE","ANACRE",2014,2024,0.0925215060721492,0.0661366752979536,-0.0371063775118398,0.222149389656138,1.09693673210714,0.963573627331926,1.24875791544613,"+152.2%","-31%","+822.1%",0.161829772221898,"Incertain","Incertain"
"15","EGRALB","EGRALB",2014,2024,0.0914638527146553,0.0203304941239715,0.0516160842316711,0.131311621197639,1.09577716660673,1.05297141257512,1.14032307479289,"+149.6%","+67.6%","+271.8%",6.83218955282915e-06,"Augmentation forte","Forte augmentation"
"16","LULARB","LULARB",2014,2024,0.0836994551035563,0.0211470072161802,0.0422513209598431,0.125147589247269,1.0873020616119,1.04315661293071,1.13331570593612,"+130.9%","+52.6%","+249.5%",7.55859336451353e-05,"Augmentation forte","Augmentation modérée"
"17","SCORUS","SCORUS",2014,2024,0.0747384060877337,0.0428885358418884,-0.00932312416236753,0.158799936337835,1.07760221982996,0.990720201411927,1.17210342791793,"+111.1%","-8.9%","+389.4%",0.0814000721612921,"Incertain","Incertain"
"18","DRYMAR","DRYMAR",2014,2024,0.0717336394561428,0.014013220464984,0.0442677273447742,0.0991995515675115,1.07436913640082,1.04526216269408,1.10428663970347,"+104.9%","+55.7%","+169.7%",3.07164157410133e-07,"Augmentation forte","Augmentation modérée"
"19","PHOOCH","PHOOCH",2014,2024,0.0699668985324424,0.013253875336913,0.0439893028720931,0.0959444941927917,1.07247268024702,1.04497117663832,1.10069796716922,"+101.3%","+55.3%","+161%",1.29907350550202e-07,"Augmentation forte","Augmentation modérée"
"20","CORMON","CORMON",2014,2024,0.0676968603200432,0.0239171775837178,0.0208191922559563,0.11457452838413,1.07004088745665,1.02103742347381,1.12139621379744,"+96.8%","+23.1%","+214.5%",0.00464796292541051,"Augmentation modérée à forte","Augmentation modérée"
"21","LARARG","LARARG",2014,2024,0.0633163619161537,0.0560809207471016,-0.0466022427481656,0.173234966580473,1.06536382646507,0.954466968255134,1.18914548170818,"+88.4%","-37.3%","+465.4%",0.258890293637546,"Incertain","Incertain"
"22","SAXTOR","SAXTOR",2014,2024,0.0619857294688804,0.0126299636763513,0.037231000663232,0.0867404582745289,1.06394716152862,1.03793275630266,1.09061358325097,"+85.9%","+45.1%","+138.1%",9.20890707593422e-07,"Augmentation forte","Augmentation modérée"
"23","CYGOLO","CYGOLO",2014,2024,0.0581799727422977,0.0315196934758378,-0.00359862647034437,0.11995857195494,1.05990573268733,0.996407840825772,1.12745014255654,"+78.9%","-3.5%","+231.9%",0.0649169994432525,"Incertain","Incertain"
"24","PHYCOL","PHYCOL",2014,2024,0.0496191896122218,0.0108864045911021,0.0282818366136617,0.0709565426107818,1.05087083763833,1.02868556482616,1.07353457184491,"+64.2%","+32.7%","+103.3%",5.16665836077862e-06,"Augmentation modérée à forte","Augmentation modérée"
"25","MOTALB","MOTALB",2014,2024,0.044853353784161,0.0138025293725641,0.0178003962139355,0.0719063113543866,1.04587447512832,1.01795976748618,1.07455466577641,"+56.6%","+19.5%","+105.3%",0.00115548176159892,"Augmentation modérée à forte","Augmentation modérée"
"26","CERBRA","CERBRA",2014,2024,0.0443632419059778,0.00684154066434156,0.0309538222038683,0.0577726616080873,1.04536200521903,1.03143787325896,1.05947410918969,"+55.8%","+36.3%","+78.2%",8.90894197143109e-11,"Augmentation forte","Augmentation modérée"
"27","TRIOCH","TRIOCH",2014,2024,0.0404562019168818,0.0274742368286361,-0.0133933022672449,0.0943057061010083,1.04128570238603,0.986695988926395,1.09889563367267,"+49.9%","-12.5%","+156.8%",0.140882094423056,"Incertain","Incertain"
"28","COLPAL","COLPAL",2014,2024,0.0401593920399753,0.0101943243412771,0.0201785163310722,0.0601402677488784,1.04097668436694,1.02038347888383,1.06198549841375,"+49.4%","+22.4%","+82.5%",8.16899581732647e-05,"Augmentation modérée à forte","Augmentation modérée"
"29","CARSPI","CARSPI",2014,2024,0.0390275092673311,0.0230182432111713,-0.00608824742656463,0.0841432659612267,1.03979908736779,0.993930248397046,1.08778472517015,"+47.7%","-5.9%","+132%",0.089979968773121,"Incertain","Incertain"
"30","SYLATR","SYLATR",2014,2024,0.0354776633128239,0.016398202463426,0.00333718648450887,0.067618140141139,1.03611450450402,1.00334276109077,1.06995665696192,"+42.6%","+3.4%","+96.6%",0.0305020302496614,"Augmentation modérée à forte","Augmentation modérée"
"31","ANTSPI","ANTSPI",2014,2024,0.0347297780705542,0.0578090231707665,-0.0785759073441481,0.148035463485256,1.03533989945075,0.924431886098913,1.15955401746062,"+41.5%","-54.4%","+339.5%",0.547994902595894,"Incertain","Incertain"
"32","TURILI","TURILI",2014,2024,0.0318093012980737,0.0183941715023941,-0.00424327484661863,0.0678618774427661,1.03232062433021,0.99576571512396,1.07021747709485,"+37.5%","-4.2%","+97.1%",0.0837528831545464,"Incertain","Incertain"
"33","EMBCIR","EMBCIR",2014,2024,0.0317898491229575,0.0147302177825014,0.0029186222692548,0.0606610759766602,1.03230054364396,1.0029228855939,1.06253873325123,"+37.4%","+3%","+83.4%",0.0309170704185079,"Augmentation modérée à forte","Augmentation modérée"
"34","ACCNIS","ACCNIS",2014,2024,0.0312568725369206,0.0123287701862582,0.00709248297185429,0.0554212621019867,1.03175049821813,1.00711769419736,1.05698578895661,"+36.7%","+7.4%","+74.1%",0.0112357789032136,"Augmentation modérée à forte","Augmentation modérée"
"35","CIRCYA","CIRCYA",2014,2024,0.0306265453755156,0.0256685202351774,-0.0196837542854321,0.0809368450364633,1.03110036277585,0.980508705957278,1.08430241532482,"+35.8%","-17.9%","+124.6%",0.23280833733404,"Incertain","Incertain"
"36","COLLIV","COLLIV",2014,2024,0.0294731742019883,0.0210154898262566,-0.0117171858574746,0.0706635342614514,1.02991180689521,0.988351193034767,1.07322006333112,"+34.3%","-11.1%","+102.7%",0.160780904384017,"Incertain","Incertain"
"37","CISJUN","CISJUN",2014,2024,0.0265708693439095,0.0319662348576209,-0.0360829509770275,0.0892246896648464,1.02692702232721,0.964560278946986,1.09332628784705,"+30.4%","-30.3%","+144.1%",0.405851202969864,"Incertain","Incertain"
"38","COCCOC","COCCOC",2014,2024,0.0251122467839178,0.0163927707757863,-0.00701758393662343,0.0572420775044588,1.0254302153086,0.993006981807883,1.05891211817408,"+28.5%","-6.8%","+77.3%",0.125544686058008,"Incertain","Incertain"
"39","MILCAL","MILCAL",2014,2024,0.0250030052620146,0.0499449018549906,-0.0728890023737672,0.122895012897796,1.02531820186964,0.929704019238042,1.13076569890146,"+28.4%","-51.8%","+241.8%",0.616644383800868,"Incertain","Incertain"
"40","ALCATT","ALCATT",2014,2024,0.0247854689588637,0.0214343498668374,-0.0172258567801374,0.0667967946978649,1.02509518219677,0.982921660041709,1.06907821373928,"+28.1%","-15.8%","+95%",0.247540723739706,"Incertain","Incertain"
"41","DENMIN","DENMIN",2014,2024,0.0247040628629225,0.0173826494987636,-0.0093659301546541,0.0587740558804992,1.02501173659656,0.990677793558289,1.06053559188705,"+28%","-8.9%","+80%",0.155261276543133,"Incertain","Incertain"
